primaryName,birthYear,deathYear,primaryProfession,knownForTitles,average_popularity,nconst,aggregated_genres
Maria Schell,1926,2005,"actress,soundtrack,producer","tt0050782,tt0049259,tt0043477,tt0078346",6.093865150600789,nm0770730,"Crime,Drama,History, Comedy, Drama,Romance,Western, Drama,Romance,War, Comedy,Crime, Drama,Romance, Western, Comedy,Drama,Fantasy, Crime,Drama,Horror, Biography,Drama,History, Comedy,Romance, Crime,Drama, Drama, Drama,War, Drama,Thriller, Biography,Horror"
Raima Sen,1979,NA,actress,"tt0458033,tt0808306,tt8146434,tt2075108",6.238409663527094,nm0784025,"Thriller, Action, Comedy,Drama,Sci-Fi, Comedy, Comedy,Drama, Mystery, Crime,Mystery,Thriller, Drama,Romance, Drama,Mystery,Thriller, Documentary, Comedy,Drama,Fantasy, Comedy,Drama,Thriller, Action,Drama,Musical, Crime,Thriller, Action,Crime,Drama, Crime,Drama,Mystery, Drama, Romance, Mystery,Thriller, Comedy,Musical, Action,Crime, Comedy,Drama,Romance, Drama,Fantasy,Musical, Drama,Thriller"
Lucha Villa,1936,NA,"actress,soundtrack","tt0104751,tt0134817,tt0058125,tt0076336",5.9051758070163585,nm0897628,"Comedy,Drama,War, Comedy, Horror,Mystery,Thriller, Adventure,Comedy,Drama, Comedy,Drama, Western, Action,Drama,History, Comedy,Drama,Fantasy, Action,Drama,Western, Action,Adventure,Comedy, Comedy,Drama,Western, Action,Crime,Drama, Action,Adventure,Drama, Drama, Romance, Comedy,Musical, Comedy,Drama,Musical, Action,Crime,Thriller, Action,Comedy,Drama, Comedy,Musical,Western, Drama,Musical"
Naima Al Soghayar,1931,1991,"actress,composer","tt2233953,tt4172500,tt0844006,tt2234269",5.372618167720179,nm1032423,"Thriller, Comedy, Horror, Drama,Horror, Drama,History, Comedy,Crime, Comedy,Drama, Action,Drama, Mystery, Drama,Romance, Comedy,Drama,Thriller, Crime,Drama, Comedy,Romance, Drama, Drama,Mystery, Romance, Crime,Drama,Music, Comedy,Drama,Romance, Drama,Thriller"
Shabnur,1979,NA,"actress,animation_department","tt5676466,tt5107670,tt3902736,tt2802152",6.347589754739835,nm1959001,"Action, Drama,Family,Romance, Drama,Romance, Crime,Drama,Romance, Comedy,Crime,Drama, Drama,Family, History,Romance, Comedy,Drama,Family, Crime,Drama, Action,Romance, Drama, Romance, Comedy,Family,Romance, Action,Drama,Romance, Comedy,Drama,Romance, Family, Drama,Family,War"
Elizabeth Taylor,1932,2011,"actress,soundtrack,producer","tt0051459,tt0061407,tt0053318,tt0061184",5.81493937318957,nm0000072,"Romance,Western, Drama,Musical,Romance, Documentary,Drama,History, Comedy, Drama,Romance,War, Biography,Comedy,Drama, Drama,Romance,Thriller, Horror,Mystery,Thriller, Comedy,Drama, Drama,Romance, Drama,Mystery,Thriller, Drama,Western, Biography,Drama,History, Adventure,Drama, Comedy,Romance, Drama, Drama,Mystery, Drama,Horror,Mystery, Biography,Drama, Comedy,Musical,Romance, Comedy,Drama,Romance, Adventure,Drama,Family, Drama,Thriller, Adventure,Drama,Romance"
Whoopi Goldberg,1955,NA,"actress,producer,writer","tt0105417,tt0099653,tt0088939,tt0108147",6.063874671713828,nm0000155,"Comedy,Family,Music, Comedy, Adventure,Comedy,Family, Animation,Family, Comedy,Crime, Comedy,Drama, Documentary, Comedy,Crime,Drama, Documentary,Family, Action,Comedy,Romance, Action,Adventure,Comedy, Adventure,Animation,Comedy, Adventure,Animation,Family, Comedy,Family,Fantasy, Drama,Fantasy,Romance, Adventure,Animation,Drama, Action,Comedy,Family, Drama,History, Documentary,History, Action,Drama, Action,Adventure,Animation, Comedy,Romance,Thriller, Animation,Family,Fantasy, Comedy,Romance, Drama, Action,Comedy,Crime, Comedy,Sport, Comedy,Drama,Romance, Family, Comedy,Family, Adventure,Animation,Fantasy, Drama,Musical"
Traci Lords,1968,NA,"actress,soundtrack,producer","tt1984153,tt1007028,tt0120611,tt0099329",5.507657847711834,nm0000183,"Thriller, Crime,Drama,Thriller, Comedy, Horror, Drama,Horror,Thriller, Comedy,Drama, Drama,Mystery,Thriller, Horror,Thriller, Action,Adventure,Comedy, Crime,Drama, Action,Adventure,Crime, Crime,Drama,Mystery, Adult,Comedy,Fantasy, Action,Animation,Comedy, Comedy,Horror, Comedy,Drama,Horror, Comedy,Horror,Sci-Fi, Biography,Drama,Horror, Horror,Music,Thriller, Crime,Mystery,Thriller, Adult,Drama, Comedy,Romance, Action,Crime,Drama, Action,Comedy,Crime, Action,Crime, Adult, Drama,Thriller, Adult,Comedy"
Lena Olin,1955,NA,actress,"tt0241303,tt0107983,tt0096332,tt0285333",5.444914495727842,nm0000565,"Crime,Drama,Thriller, Comedy, Drama,Romance,War, Horror, Biography,Comedy, Drama,Romance, Comedy,Drama, Crime,Drama,Romance, Action,Adventure,Crime, Crime,Drama, Crime,Drama,Mystery, Drama, Action,Comedy,Crime, Mystery,Thriller, Biography,Drama, Action,Drama,Thriller, Comedy,Drama,Romance"
Meret Becker,1969,NA,"actress,soundtrack,composer","tt0111613,tt0111183,tt0128133,tt0408306",5.897690834843997,nm0000888,"Comedy,Crime,Family, Crime, Comedy, Family,Fantasy, Comedy,Crime, Drama,Romance, Comedy,Drama, Documentary, Drama,Western, Action,Adventure,Comedy, Crime,Thriller, Comedy,Drama,Family, Comedy,Romance, Drama, Romance, Comedy,Drama,Romance, Comedy,Crime,Romance, Comedy,Drama,History"
Carole Bouquet,1957,NA,"actress,director,soundtrack","tt0082398,tt0398664,tt0281364,tt0098520",5.439432792082117,nm0000962,"Crime, Comedy, Crime,Mystery,Romance, Drama,Fantasy, Crime,Drama,Romance, Comedy,Drama, Documentary, Drama,Romance, Comedy,Crime,Drama, Horror,Thriller, Comedy,Romance, Drama,Music, Biography,Drama,War, Crime,Drama,Mystery, Drama, Action,Comedy,Crime, Action,Adventure,Thriller, Crime,Drama, Comedy,Musical, Comedy,Drama,Romance, Comedy,Family, Adventure,Drama,Romance, Sci-Fi"
Katherine Heigl,1978,NA,"actress,producer,soundtrack","tt0478311,tt1598828,tt1142988,tt0413573",5.200121525161899,nm0001337,"Crime,Drama,Thriller, Comedy,Family,Fantasy, Drama,Family,Romance, Comedy, Adventure,Fantasy,Romance, Comedy,Horror,Sci-Fi, Comedy,Crime,Thriller, Drama,Horror,Thriller, Comedy,Horror,Thriller, Drama,Family,Music, Horror,Thriller, Action,Comedy,Romance, Adventure,Animation,Comedy, Comedy,Romance, Crime,Drama, Drama, Action,Comedy,Crime, Action,Adventure,Thriller, Drama,Family,Western, Comedy,Sport, Action,Drama,Thriller, Comedy,Drama,Romance, Drama,Thriller"
Carrie-Anne Moss,1967,NA,"actress,producer","tt0242653,tt0133093,tt0209144,tt0457572",6.332841717538487,nm0005251,"Action,Thriller, Comedy,Drama,Horror, Crime,Drama,Thriller, Animation,Drama,Fantasy, Comedy, Action,Sci-Fi, Horror,Mystery,Thriller, Comedy,Drama, Drama,Romance, Comedy,Crime,Drama, Horror,Sci-Fi,Thriller, Comedy,Thriller, Crime,Drama,Mystery, Action,Sci-Fi,Thriller, Comedy,Romance, Crime,Drama, Drama, Mystery,Thriller, Biography,Drama, Action,Drama,Thriller, Adventure,Animation,Fantasy, Crime,Horror,Mystery"
Claire Keim,1975,NA,"actress,soundtrack","tt0386139,tt0249538,tt0115650,tt0103442",5.403504848293219,nm0445102,"Thriller, Drama,Mystery,Romance, Adventure, Comedy, Animation, Biography, Comedy,Crime, Documentary, Horror,Thriller, Crime,Drama,Mystery, Comedy,Romance, Crime,Drama, Drama, Romance, Comedy,Musical, Drama,Thriller"
Helga Liné,1931,NA,actress,"tt0084228,tt0069878,tt0068713,tt0060704",5.290395098322323,nm0513298,"Adventure,Comedy,Romance, Adventure,Comedy,History, Comedy, Horror, Drama,Horror,Thriller, Comedy,Drama, Documentary, Crime,Thriller, Crime,Drama, Action,Adventure,Crime, Action,Adventure,Drama, Drama,Horror,Mystery, Action,Drama,Romance, Fantasy,Horror, Action,Crime,Thriller, Drama,Musical,Romance, Adventure, Adventure,Drama,War, Adventure,Crime,Thriller, Action,Adventure, Drama,Romance, Action,Drama, Drama,Family,Music, Action,Adventure,Romance, Action,Crime,Drama, Action,Adventure,Sci-Fi, Drama, Comedy,Musical, Comedy,Fantasy, Adventure,Fantasy, Drama,Family,Musical, Drama,Sci-Fi, Comedy,Drama,Romance"
Cherry Pie Picache,1970,NA,"actress,soundtrack","tt0294289,tt0757898,tt0809517,tt1031930",5.590091469506623,nm0681367,"Crime,Drama,Thriller, Crime,Drama,History, Comedy, Horror, Horror,Mystery,Thriller, Adventure,Comedy,Drama, Comedy,Drama, Action,Drama, Drama,Romance, Comedy,Romance, Drama, Drama,Horror,Mystery, Comedy,Drama,Romance, Drama,Horror,Romance"
Aishwarya Rai Bachchan,1973,NA,"actress,soundtrack,producer","tt0150992,tt0441048,tt0449994,tt0238936",5.9818182287646495,nm0706787,"Drama,Musical,Romance, Drama,Romance, Action,Drama,History, Action,Drama,Musical, Comedy,Romance,Sci-Fi, Action,Sci-Fi,Thriller, Action,Crime,Drama, Action,Adventure,Drama, Drama, Comedy,Drama,Music, Biography,Drama, Drama,Music,Musical, Action,Drama,Romance, Adventure,Fantasy, Biography,Crime,Drama, Action,Adventure,History, Comedy,Drama,Musical, Action,Crime,Thriller, Comedy,Drama,Romance, Drama,Thriller"
Libuse Safránková,1953,2021,"actress,soundtrack,miscellaneous","tt0172066,tt0116790,tt0070832,tt0118675",5.9902599243057395,nm0755941,"Comedy,Fantasy,Romance, Comedy,Family,Fantasy, Comedy, Adventure,Comedy,Family, Drama,Sport, Adventure,Comedy,Drama, Comedy,Drama, Family,Fantasy,Romance, Fantasy, Comedy,Romance, Family,Fantasy,Musical, Drama, Comedy,Drama,Music, Drama,War, Family, Adventure,Drama,Family, Comedy,Family, Drama,Family,Fantasy, Comedy,Drama,History"
Ashley Judd,1968,NA,"actress,producer,director","tt0113277,tt0119468,tt0470705,tt0150377",5.472655546656639,nm0000171,"Comedy,Family,Fantasy, Drama,Horror,Thriller, Drama,Romance, Documentary, Drama,Mystery,Thriller, Drama,Family, Comedy,Drama,Family, Crime,Drama, Comedy,Romance, Crime,Drama,Mystery, Biography,Drama,Music, Drama, Drama,Music, Biography,Drama, Comedy,Drama,Romance, Adventure,Drama,Family, Drama,Thriller, Comedy,Crime,Mystery"
Joanna Cassidy,NA,NA,"actress,soundtrack,producer","tt0248654,tt0083658,tt0098051,tt0096438",5.564313246160866,nm0001026,"Thriller, Drama,Sci-Fi,Thriller, Action,Thriller, Comedy, Biography,Comedy,Drama, Horror,Mystery, Drama,Romance,Thriller, Comedy,Crime, Comedy,Drama, Drama,Romance, Drama,Mystery,Thriller, Drama,Family, Horror,Thriller, Horror,Sci-Fi,Thriller, Documentary,Family, Adventure,Animation,Comedy, Action,Crime,Drama, Comedy,Romance, Crime,Drama, Crime,Drama,Mystery, Drama, Drama,War, Drama,Mystery, Biography,Drama, Comedy,Drama,Romance, Drama,Thriller"
Melissa Gilbert,1964,NA,"actress,producer,director","tt0071007,tt0087630,tt8205246,tt8650976",5.665424886501586,nm0001271,"Thriller, Drama,Family,Romance, Drama,Fantasy,Romance, Drama,Romance,Thriller, Drama,Romance, Drama,Mystery,Thriller, Horror,Mystery,Sci-Fi, Drama,Western, Drama,Family, Animation,Family,Fantasy, Crime,Drama, Comedy,Romance, Drama, Mystery,Thriller, Mystery,Romance,Thriller, Drama,Thriller"
Catherine Keener,1959,NA,"actress,producer,casting_department","tt0405422,tt0120601,tt5052448,tt0379725",6.129967007464653,nm0001416,"Drama,Mystery,Romance, Comedy,Drama,Sci-Fi, Comedy, Comedy,Music, Horror,Mystery,Thriller, Action,Biography,Crime, Comedy,Drama, Drama,Romance, Documentary, Crime,Mystery,Thriller, Action,Adventure,Animation, Comedy,Drama,Fantasy, Comedy,Crime,Drama, Drama,Family, Adventure,Biography,Drama, Adventure,Animation,Comedy, Crime,Drama,Mystery, Comedy,Romance, Drama,Music, Biography,Drama,Music, Drama, Comedy,Drama,Music, Drama,Mystery, Biography,Crime,Drama, Comedy,Drama,Romance, Drama,Thriller"
Jane Seymour,1951,NA,"actress,producer,soundtrack","tt0081534,tt0103405,tt0070328,tt0396269",5.7736091437305985,nm0005412,"Thriller, Crime,Drama,Thriller, Comedy, Drama,Horror, Animation,Drama,Family, Biography,Drama,Romance, Comedy,Drama, Documentary, Drama,Mystery,Thriller, Comedy,Crime,Drama, Biography,Comedy,Documentary, Crime,Drama,Mystery, Action,Adventure,Family, Romance, Action,Drama,Romance, Adventure,Family, Comedy,Crime,Fantasy, Drama,Music,Romance, Drama,Horror,Sci-Fi, Drama,Fantasy,Romance, Adventure,Drama,History, Comedy,Fantasy,Musical, Drama,Romance, Drama,Western, Music,Romance, Drama,Family, Drama,History,Thriller, Action,Crime,Drama, Comedy,Romance, Drama, Drama,War, Action,Adventure,Thriller, Comedy,Family,Romance, Biography,Drama, Mystery,Thriller, Comedy,Drama,Romance, Drama,Thriller"
Yogeeta Bali,1952,NA,"actress,producer,music_department","tt1219317,tt0074949,tt0069534,tt0266333",5.650058993603703,nm0050197,"Thriller, Action,Thriller, Action,Drama,War, Action, Crime, Romance,Thriller, Musical,Mystery,Romance, Drama,Romance, Crime,Drama,Romance, Comedy,Drama, Drama,Family, Comedy,Crime,Drama, Action,Drama,Musical, Comedy,Romance, Action,Crime,Drama, Drama, Romance, Action,Crime, Action,Comedy,Drama, Drama,Thriller"
María Barranco,1961,NA,"actress,soundtrack,writer","tt0101026,tt0099449,tt0095675,tt0099484",5.358236050688778,nm0056686,"Thriller, Comedy, Horror,Mystery,Thriller, Drama,History, Comedy,Crime, Comedy,Drama, Drama,Romance, Comedy,Romance, Drama, Comedy,Drama,Music, Comedy,History, Action,Crime,Thriller, Comedy,Drama,Romance, Musical"
Tahiyyah Karyuka,1915,1999,"actress,soundtrack","tt0342396,tt0342955,tt0358986,tt0308879",5.6876427984265225,nm0137226,"Adventure,Drama,Musical, Adventure,Comedy,Romance, Crime,Drama,Thriller, Crime,Romance, Drama,Musical,Romance, Crime, Comedy, Drama,Romance,Thriller, Drama,Romance, Comedy,Romance, Drama, Comedy,Musical,Romance, Action,Drama,Thriller, Comedy,Crime,Fantasy, Comedy,Drama,Romance"
Ann-Kathrin Kramer,1966,NA,"actress,writer","tt0479499,tt0198353,tt0112117,tt1156141",5.2751204157401625,nm0469455,"Thriller, Action, Crime, Comedy, Family,Fantasy, Comedy,Crime, Comedy,Drama, Drama,Romance, Comedy,Drama,Fantasy, Crime,Thriller, Comedy,Romance, Crime,Drama, Drama, Biography,Drama, Adventure,Comedy, Drama,Thriller"
Sandra Kwan Yue Ng,1965,NA,"actress,producer,soundtrack","tt0396030,tt0354593,tt1602572,tt0148631",5.523609039820758,nm0510950,"Action,Comedy,Fantasy, Comedy,Fantasy,Horror, Comedy,Fantasy,Romance, Action, Comedy,Crime,Horror, Comedy, Action,Comedy, Horror, Animation, Comedy,Crime, Comedy,Drama, Comedy,Drama,Fantasy, Comedy,Crime,Drama, Horror,Thriller, Crime,Drama, Romance, Action,Drama,Romance, Action,Comedy,Drama, Comedy,Horror, Comedy,Drama,Horror, Drama,Romance, Action,Adventure,Animation, Comedy,Romance, Action,Comedy,Crime, Biography,Drama,Sport, Comedy,Fantasy, Animation,Comedy, Comedy,Drama,Romance, Animation,Comedy,Drama"
Emily Mortimer,1971,NA,"actress,writer,producer","tt5028340,tt0416320,tt0800241,tt0805564",5.93405344193968,nm0607865,"Comedy,Drama,War, Comedy,Family,Fantasy, Adventure,Comedy,Family, Drama,Sport, Horror,Mystery, Drama,Romance,Thriller, Comedy,Drama, Drama,Romance, Comedy,Drama,Fantasy, Action,Adventure,Comedy, Adventure,Animation,Comedy, Crime,Drama,Mystery, Crime,Drama, Action,Crime,Drama, Adventure,Comedy,Crime, Drama, Comedy,Drama,Music, Action,Comedy,Crime, Action,Adventure,Sci-Fi, Mystery,Thriller, Drama,Horror,Mystery, Biography,Drama, Drama,Sci-Fi, Comedy,Drama,Romance"
Lilli Palmer,1914,1986,"actress,soundtrack,writer","tt0051964,tt0038417,tt0048948,tt0044631",5.488328481488635,nm0658339,"Drama,Mystery,Romance, Crime, Comedy, Drama,Romance,Thriller, Comedy,Mystery,Thriller, Drama,History, Comedy,Music,Romance, Drama,Mystery,Sci-Fi, Biography,Drama,Romance, Horror,Mystery,Thriller, Documentary, Crime,Drama,Horror, Drama,History,Thriller, Biography,Drama,History, Crime,Drama, Comedy,Romance, Drama, Drama,War, Action,Crime,Mystery, Comedy,Musical,Romance, Action,Drama,Thriller, Comedy,Drama,Romance, Adventure,Drama,Family"
Barbara Rudnik,1958,2009,"actress,location_management,soundtrack","tt0460888,tt0088240,tt0091594,tt0441794",5.520763211926941,nm0748884,"Thriller, Crime,Drama,Thriller, Crime, Comedy, Drama,Romance,War, Comedy,Mystery,Thriller, Drama,Romance, Crime,Mystery,Thriller, Comedy,Crime,Musical, Comedy,Crime,Drama, Horror,Sci-Fi,Thriller, Action,Adventure,Comedy, Crime,Thriller, Crime,Drama, Comedy,Romance, Drama, Family, Drama,Thriller, Sci-Fi"
Maya Sansa,1975,NA,"actress,soundtrack","tt2184227,tt0302309,tt0377569,tt0139877",5.538480174105251,nm0763022,"Thriller, Action,Drama,War, Crime,Drama,Thriller, Biography,Comedy, Comedy,Drama, Drama,Romance, Crime,Drama,Romance, Mystery, Fantasy,Mystery,Romance, Biography,Documentary, Drama, Drama,War, Biography,Drama, Drama,Thriller"
Lauren Holly,1963,NA,"actress,producer,soundtrack","tt0103512,tt0109686,tt0207201,tt0106770",5.289143385527934,nm0000452,"Thriller, Comedy,Fantasy,Romance, Action,Thriller, Action,Comedy,Horror, Comedy, Horror, Drama,Romance,Thriller, Drama,Romance, Crime,Mystery,Thriller, Drama,Western, Comedy,Drama,Fantasy, Comedy,Crime,Drama, Family,Sport, Action,Adventure,Comedy, Crime,Drama,Mystery, Action,Crime,Drama, Comedy,Romance, Drama, Comedy,Family,Romance, Biography,Drama, Action,Biography,Drama, Action,Horror,Thriller, Comedy,Drama,Romance, Drama,Family,Sci-Fi, Family, Drama,Thriller, Comedy,Family"
Fionnula Flanagan,1941,NA,"actress,soundtrack,producer","tt0166396,tt0430105,tt0230600,tt1540133",5.721865145846123,nm0001217,"Thriller, Drama,Sci-Fi,Thriller, Comedy,Drama,Horror, Crime,Drama,Thriller, Documentary,Mystery, Comedy, Adventure,Animation,Drama, Drama,Horror,Thriller, Horror,Mystery,Thriller, Drama,History, Adventure,Comedy,Drama, Biography,Documentary,History, Comedy,Drama, Drama,Romance, Family,Romance, Comedy,Drama,Family, Crime,Drama,Mystery, Comedy,Romance, Drama,History,Mystery, Drama, Biography,Drama, Horror,Romance,Western, Adventure,Family,Fantasy, Drama,Thriller"
Sridevi,1963,2018,"actress,music_department,producer","tt5690142,tt0097045,tt0091601,tt2181931",6.329334689543099,nm0004437,"Action,Thriller, Action, Crime,Drama,Thriller, Crime, Comedy, Comedy,Drama, Drama,Mystery,Thriller, Family,Romance, Action,Drama,Family, Action,Comedy,Romance, Comedy,Drama,Family, Fantasy,Romance, Action,Adventure,Crime, Action,Adventure,Drama, Romance, Action,Drama,Romance, Action,Drama,Thriller, Action,Crime,Thriller, Action,Comedy,Drama, Drama,Family,Fantasy, Drama,Musical,Romance, Drama,Family,Romance, Action,Comedy,Family, Music, Drama,Romance, Action,Drama, Comedy,Romance,Thriller, Drama,Family, Drama,Family,Music, Action,Drama,Western, Action,Drama,Musical, Biography,Drama,History, Action,Crime,Drama, Drama, Action,Comedy,Crime, Action,Adventure,Fantasy, Action,Crime, Comedy,Drama,Romance, Family, Drama,Thriller, Drama,Musical"
Dominique Blanc,1956,NA,"actress,director,writer","tt0104507,tt0097884,tt0110963,tt0245834",5.636139109214872,nm0086924,"Comedy,Drama,History, History, Crime,Drama,Thriller, Adventure, Comedy, Drama,Romance,Thriller, Drama,Fantasy, Biography,Drama,Romance, Comedy,Drama, Drama,Romance, Documentary, Adventure,Animation,Comedy, Crime,Drama, Comedy,Romance, Drama, Biography,Drama, Drama,Thriller, Adventure,Drama,Romance, Sci-Fi"
Poonam Dhillon,1962,NA,"actress,music_department","tt0237587,tt3735944,tt0090958,tt0309926",5.770929688263629,nm0223563,"Action,Thriller, Action, Crime,Drama,Thriller, Comedy, Horror, Musical,Romance, Action,Drama,Family, Crime,Drama,Family, Crime,Drama, Action,Romance, Romance, Drama,Mystery, Drama,Horror,Mystery, Action,Drama,Romance, Action,Drama,Thriller, Action,Comedy,Drama, Crime,Horror,Mystery, Drama,Musical,Romance, Drama,Family,Romance, Romance,Sport, Drama,Romance, Action,Drama, Drama,Family, Action,Crime,Drama, Comedy,Romance, Drama, Action,Adventure,Fantasy, Comedy,Drama,Romance"
Lyubov Polishchuk,1949,2006,actress,"tt0103195,tt0442726,tt1289829,tt0086407",5.320086959727819,nm0689189,"Comedy,Crime,Mystery, History, Crime,Romance, Comedy, Comedy,Crime, Drama,Romance, Comedy,Romance, Drama, Romance, Comedy,Musical, Action,Drama,Thriller, Action,Crime, Comedy,Drama,Romance, Crime,Mystery"
Youssra,1951,NA,"actress,soundtrack","tt0110545,tt0418368,tt0276531,tt0418407",5.531259676291297,nm0950345,"Thriller, Crime,Drama,Thriller, Comedy, Horror, Drama,Romance,War, Action,Drama,Mystery, Adventure,Comedy,Drama, Comedy,Drama, Drama,Romance, Comedy,Drama,Fantasy, Comedy,Crime,Drama, Comedy,Romance, Action,Crime,Drama, Crime,Drama, Drama, Action,Comedy,Crime, Action,Adventure,Thriller, Romance, Comedy,Musical,Romance, Comedy,Drama,Romance, Drama,Thriller, Drama,Music,Romance, Drama,Musical"
Kim Basinger,1953,NA,"actress,soundtrack,producer","tt0096895,tt0337921,tt0119488,tt0108525",5.683673364944097,nm0000107,"Crime,Drama,Thriller, Comedy, Comedy,Drama,Sport, Comedy,Music,Romance, Comedy,Drama, Comedy,Sci-Fi, Documentary, Drama,Mystery,Thriller, Animation,Comedy,Fantasy, Crime,Drama, Crime,Drama,Mystery, Action,Adventure,Crime, Documentary,Sport, Action,Crime,Thriller, Drama,Fantasy,Romance, Drama,Sport, Action,Adventure, Drama,Romance, Crime,Drama,Romance, Crime,Drama,Horror, Comedy,Mystery,Romance, Adventure,Biography,Drama, Action,Crime,Drama, Drama,Music, Comedy,Romance, Biography,Documentary, Drama, Action,Adventure,Thriller, Mystery,Thriller, Comedy,Drama,Romance, Drama,Thriller, Adventure,Mystery,Thriller"
Neve Campbell,1973,NA,"actress,producer,soundtrack","tt0117571,tt0120082,tt0120890,tt0134084",5.575114053391542,nm0000117,"Thriller, Comedy,Drama,Horror, Comedy, Horror,Mystery, Drama,Romance,Thriller, Horror,Mystery,Thriller, Comedy,Drama, Drama,Romance, Drama,Mystery,Thriller, Documentary, Drama,Fantasy,Horror, Action,Adventure,Animation, Comedy,Crime,Drama, Comedy,Romance, Drama,Music, Crime,Drama,Mystery, Biography,Drama,Music, Comedy,Horror,Mystery, Drama, Action,Adventure,Thriller, Biography,Drama, Documentary,News, Drama,Thriller, Drama,Family,Fantasy, Drama,Music,Romance, Comedy,Crime,Mystery"
Cate Blanchett,1969,NA,"actress,producer,writer","tt0421715,tt0120737,tt2334873,tt2402927",6.247156627471286,nm0000949,"Drama,Mystery,Romance, Crime,Drama,Thriller, Comedy,Drama,Sci-Fi, Drama,Fantasy,History, Biography,Crime,Documentary, Adventure,Drama,Thriller, Documentary,Drama, Comedy,Drama, Mystery, Documentary, Comedy,Crime,Drama, Action,Adventure,Comedy, Adventure,Animation,Comedy, Action,Adventure,Drama, Action,Comedy,Drama, Drama,Music,Romance, Comedy,Drama,History, Adventure,Drama,Fantasy, Comedy,Family,Fantasy, Drama,Fantasy,Romance, Drama,Romance,Thriller, Action,Adventure, Drama,Romance, Crime,Drama,Romance, Drama,Fantasy,Horror, Action,Adventure,Animation, Biography,Drama,History, Drama,Music, Biography,Drama,Music, Drama, Action,Comedy,Crime, Biography,Drama, Adventure,Fantasy, Biography,Crime,Drama, Comedy,Drama,Romance, Adventure,Drama,Family, Drama,History,War"
Mia Farrow,1945,NA,"actress,soundtrack","tt0089853,tt0087003,tt0063522,tt0097123",5.942395538475188,nm0001201,"Comedy,Fantasy,Romance, Comedy, Adventure,Animation,Drama, Drama,Horror, Comedy,Drama, Drama,Romance, Drama,Mystery,Thriller, Comedy,Drama,Fantasy, Adventure,Drama, Adventure,Animation,Comedy, Comedy,Romance, Family,Fantasy,Musical, Crime,Drama,Mystery, Drama, Drama,Horror,Mystery, Action,Adventure,Fantasy, Action,Drama,Thriller, Comedy,Drama,Romance, Drama,Thriller, Adventure,Animation,Family, Comedy,Crime,Mystery"
Charlotte Rampling,1946,NA,"actress,soundtrack,writer","tt0324133,tt3544082,tt2094766,tt1527186",5.885862608762812,nm0001648,"Thriller, Comedy,Drama,Mystery, Drama,Mystery,Romance, Comedy, Adventure,Drama,Thriller, Biography,Drama,Romance, Comedy,Crime, Comedy,Drama, Drama,Mystery,Thriller, Documentary, Crime,Thriller, Crime,Drama,Mystery, Drama,Mystery, Drama,History,Romance, Action,Drama,Thriller, Action,Crime,Thriller, Adventure,Drama,Horror, Action,Mystery,Thriller, Drama,Sci-Fi,Thriller, Adventure,Drama,Mystery, Adventure,Fantasy,Sci-Fi, Drama,Fantasy, Horror,Mystery,Thriller, Drama,History, Documentary,History, Drama,Romance, Crime,Mystery,Thriller, Biography,Drama,History, Action,Crime,Drama, Biography,Documentary, Drama, Biography,Drama, Mystery,Thriller, Comedy,Fantasy, Drama,Sci-Fi, Comedy,Drama,Romance, Drama,Thriller, Crime,Mystery"
Danica McKellar,1975,NA,"actress,producer,writer","tt0094582,tt0200276,tt16150832,tt1641384",5.119231929492292,nm0005211,"Thriller, Drama,Family,Romance, Action,Horror,Sci-Fi, Comedy, Drama,Romance, Mystery, Comedy,Drama,Family, Comedy,Romance, Crime,Drama, Action,Adventure,Drama, Drama, Drama,War, Romance, Comedy,Family,Romance, Action,Adventure,Fantasy, Comedy,Drama,Romance, Drama,Thriller, Comedy,Horror"
Kumiko Akiyoshi,1954,NA,"actress,director,writer","tt0125217,tt0202229,tt0400207,tt0318661",5.717636351019096,nm0015440,"History, Drama,Mystery,Romance, Action,Animation,Drama, Crime, Comedy, Horror, Drama,Horror, Drama,Fantasy, Crime,Drama,Romance, Mystery, Drama,Romance, Crime,Thriller, Adventure,Crime,Drama, Crime,Drama, Action,Crime,Drama, Comedy,Romance, Drama, Action,Crime"
Karin Baal,1940,NA,actress,"tt0064403,tt0055501,tt0049288,tt0053975",6.700015171445065,nm0044642,"Comedy,Drama,War, Crime,Drama,Thriller, Crime, Comedy, Crime,Drama,History, Biography,Comedy,Drama, Horror,Mystery, Comedy,Music, Horror,Mystery,Thriller, Comedy,Crime, Crime,Horror,Thriller, Documentary,Drama, Comedy,Drama, Drama,Romance, Fantasy, Crime,Drama, Drama, Drama,Mystery, Comedy,Musical, Drama,Thriller, Crime,Horror,Mystery, Musical"
Agostina Belli,1947,NA,actress,"tt0072037,tt0077459,tt0122513,tt0075318",5.583518600491464,nm0068941,"Crime,Drama,Thriller, Comedy, Horror, Horror,Mystery,Thriller, Comedy,Drama, Comedy,Sci-Fi, Drama,Romance, Comedy,Thriller, Adventure,Drama, War, Drama,History,Music, Drama, Romance, Mystery,Thriller, Comedy,Musical, Comedy,Drama,Romance, Drama,Thriller, Sci-Fi"
